Title,Company,Location,Update Time,Minimum qualifications,Preferred qualifications,Responsibilities,About Job,Link
"Senior Quality Program Manager, Technical Infrastructure",Google,"Dublin Ireland
",2022-12-07T11:43:08.811Z,"Bachelor's degree or equivalent practical experience
Experience in program management either in-house or at consulting agencies","Certificate in lean/statistical analysis in a relevant industry
Experience identifying and implementing solutions to scale operations
Experience owning program strategy, end-to-end delivery, and communicating results to executive leadership
Experience in process excellence across any industry (i.e., implementing lean, six sigma, or any other continuous improvement frameworks)
Experience driving change, innovation, and people on a global scale, using operational and strategic cross-functional initiatives","Develop quality management framework including quality standards, measures, system, and resource plan to support GSO's operations and their partners.
Develop auditable key performance indicators, along with an audit plan to establish and enhance GSO's efficiency and operational excellence.
Develop continuous improvement strategy, best practices, and standards for the organization.
Develop a Kaizen program roadmap for process improvements in quality.
Drive the organization to find new solutions by eliminating barriers across the network to propel sustained improvement, leveraging continuous/lean methodology, and tools.","As a Service and Process Quality Management Lead, Global Server Operations (GSO), you will manage a team responsible for building and executing a new initiative in the GSO Organization centered around the quality of service GSO provides to our customers and quality of the processes we execute every day. In this role, you will develop strategy, roadmaps, metrics, and maintain cross-functional partnership with teams across Technical Infrastructure. You will set the goal and manage all aspects of service and process quality throughout the GSO organization. You will create training, use a data driven approach to identify best practices for technicians, develop, and manage a scalable Kaizen program targeting improvement to key GSO metrics, including cost and quality.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.",https://careers.google.com/jobs/results/143163265204003526-senior-quality-program-manager-technical-infrastructure/?page=39
"Technical Account Manager, Google Cloud Professional Services",Google,"Tokyo Japan
",2022-12-07T11:43:02.891Z,"Bachelor¡¦s degree in Computer Science, Engineering, a related technical field, or equivalent practical experience.
3 years of experience in a customer-facing role communicating with executive stakeholders, driving customer technical implementation, or development programs.
Experience supporting customers in cloud operations (e.g., launch and capacity planning, product release management), technical support, escalation management, or IT consulting.","Experience working with channel partners, systems integrators, and third-party developers to deliver high-impact solutions.
Understanding of one of the following: IT operations, database systems, networking, IT security, application development, service architecture, cloud-native application development, hosted services, storage systems, or content delivery networks.
Ability to explain complex technical concepts to non-technical and executive audiences effectively in English and Japanese.","Accelerate customer adoption of Google Cloud by leading the implementation journey. Provide technical guidance and manage timelines, milestones, migration goals, and business transformation strategies.
Advocate for customer needs in order to overcome adoption blockers and drive feature development. Lead across multiple workstreams and teams to maintain customer momentum.
Develop strategic relationships with stakeholders to understand a customer¡¦s business and develop strategic roadmaps. Lead quarterly business reviews and executive sessions to better understand business and technical needs.
Plan for customer events and launches, partnering with Support, Engineering, and Site Reliability Engineering to ensure customer success during critical moments. Work with customers and Support to guide issues/escalations to resolution.
Develop best practices and resources that help accelerate cloud adoption and support initiatives to scale through partners.","The Google Cloud Platform team helps customers transform and build what's next for their business ¡X all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers ¡X developers, small and large businesses, educational institutions and government agencies ¡X see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
Our Professional Services organization in Google Cloud delivers product and implementation expertise to our strategic customers to help them get the most out of their Google Cloud investments.
As a Technical Account Manager (TAM), you will lead the successful adoption of Google Cloud at various organizations, guiding them through the strategic and technical facets of their Google Cloud transformation journey. You will manage the successful delivery of Professional Services engagements to drive customer adoption of Google Cloud services.
In this role, you will regularly engage with a variety of stakeholder groups, including executives of enterprises and a cross-functional, geographically dispersed team. You will communicate at all levels of the organization. You will also travel (domestically and internationally) approximately 25% of the time.
Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",https://careers.google.com/jobs/results/120390709925552838-technical-account-manager-google-cloud-professional-services/?page=40
"Technical Account Manager, Pixel Carrier Engineering",Google,"Tokyo Japan
",2022-12-07T11:41:32.791Z,"Bachelor's degree in Computer Science, Electrical Engineering, or equivalent practical experience.
5 years of experience working with cellular carriers on carrier certifications.
Experience with protocol features of 3G, 4G, 5G and WLAN technologies.","Master's degree in Engineering or a related technical field.
5 years of experience with Carrier certification and/or PTCRB/GCF certification.
Excellent planning, communication and project management skills.
Ability to speak and write in Japanese and English fluently.","Support and drive the carrier and industry approvals of wireless devices and build and sustain a great relationship with Engineering in carrier partners. 
Report project status, prioritize tasks, and drive issue resolution to completion.
Generate and maintain compliance matrix documents for wireless devices.
Complete, submit and manage responses to carrier compliance matrices.
Analyze new network features and gather operator requirements, providing guidance and feedback to Engineering and Product managers.","At Google, we work at lightning speed. So when things get in the way of progress, the Business Systems Integration team steps in to remove those roadblocks. The team identifies time-consuming internal processes and then builds solutions that are reliable and scalable enough to work within the size and scope of the company. You listen to and translate Googler needs into high-level technical specifications, design and develop recommended systems and consult with Google executives to ensure smooth implementation. Whether battling large system processes or leveraging our homegrown suite of Google products for Googlers themselves, you help Googlers work faster and more efficiently.

With your technical expertise, you build business applications and influence the design of features that improve the reliability of our applications and systems. You also define the scope of technical projects and oversee execution.
As a Technical Account Manager, you'll be responsible for partner management and certification of wireless devices through securing technical acceptance of wireless hardware products and managing relationships with Google's carrier partners. You'll plan carrier requirements with stakeholders and manage projects, including managing certification schedules, identifying risks, and managing acceptance with carrier partners. You'll act as the interface between external teams and internal teams, while driving product and platform releases. You'll coordinate with test partners/labs, ensure all issues are tracked, and report issues back to development teams. You'll apply your technical knowledge of wireless standards to understand, prioritize, and drive resolution. In addition, you'll support the product definition process with regards to certifications, while helping to shape Google's best practices for new Google hardware products.
Whether working with next-gen chipset manufacturers or emerging market telcos, Google's Android Partner Engineering team helps solve some of the toughest mobile technology problems. We work with teams throughout Google to develop solutions for strategic partners around the globe. We maintain crucial relationships with and build technical solutions for our long-term partners who are making Android into a world-changing platform. But we're just getting started.",https://careers.google.com/jobs/results/128596105249071814-technical-account-manager-pixel-carrier-engineering/?page=40
"Gaming Principal Architect, Google Cloud",Google,"Taipei Taiwan
",2022-12-07T11:41:36.868Z,"Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience.
12 years of experience as an enterprise architect in either a cloud computing environment or a customer-facing role.
8 years of experience in the Gaming industry.
Experience in cloud computing (e.g., applications, infrastructure, storage, platforms, data), cloud market, and engaged dynamics.","Experience with structured enterprise architecture practices, hybrid cloud deployments, and on-premise-to-cloud migration deployments, and roadmaps.
Experience with building, architecting, designing, and implementing distributed global cloud-based systems.
Experience with network infrastructure, security, and application development.
Knowledge of technology solutions with the ability to learn and work quickly with emerging technologies, methodologies, and solutions.
Knowledge of enterprise technology buying and evaluation process of large-scale computing solutions.
Ability to deliver results, work cross-functionally to develop solutions involving multiple business areas.","Be the trusted advisor and single owner for engaging with key technology stakeholders (Architects all the way to C-level) and identify customer priorities, technical objections for the top Gaming industry customers across APAC.
Design and position holistic gaming industry specific enterprise solution architecture and tech strategy for these top customers covering Google Cloud, rest of the Google entities, ISVs, third-party elements, etc.
Make recommendations on integration strategies, enterprise architectures, platforms, and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud effectiveness.
Manage the holistic enterprise architecture relationship with customers by collaborating with specialists, product management, engineering, and more.","The Google Cloud Platform team helps customers transform and build what's next for their business ¡X all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers ¡X developers, small and large businesses, educational institutions and government agencies ¡X see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.",https://careers.google.com/jobs/results/92574076964348614-gaming-principal-architect-google-cloud/?page=40
"SoC DFT Engineer, Google Cloud",Google,"Tel Aviv-Yafo Israel
Haifa Israel
",2022-12-07T11:42:14.854Z,"Experience in DFT specification definition architecture and insertion.
Experience using electronic design automation (EDA) test tools (e.g. Spyglass, Tessent, etc.).
Experience with ASIC DFT synthesis, simulation, and verification flow.
Experience working with ATE engineers (e.g silicon bring-up, patterns generation, debug, validation on automatic test equipment, and debug of silicon issues).","Master's degree in Electrical Engineering.
Experience in IP integration (e.g., memories, test controllers, Test Access Point (TAP), and Memory Built-In Self Test (MBIST)).
Experience in fault modeling.
Experience in SoC cycles, including silicon bringup and silicon debug activities.","Own DFT logic, Pre-silicon verification to Co-work with test engineers post silicon, and develop DFT strategy and architecture, including hierarchical DFT/MBIST and ATPG.
Complete all Test Design Rule Checks and Design changes to fix TDRC violations to achieve high-test quality.
Insert DFT logic, including boundary scan, scan chains, DFT Compression, Logic BIST, TAP controller, Clock Control block, and other DFT IP blocks.
Insert and hook up MBIST logic including test collar around memories, MBIST controllers, eFuse logic and connect to core and TAP interfaces.
Document DFT architecture and test sequences, including boot-up sequence associated with test pins.","Our computational challenges are so big, complex and unique we can't just purchase off-the-shelf hardware, we've got to make it ourselves. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most powerful computing infrastructure. You develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users.
As a SoC DFT Engineer, you will be responsible for defining, implementing and deploying advanced design-for-test (DFT) methodologies for highly complex digital and/or mixed-signal chips and/or IPs. You will define silicon test strategies, DFT architecture, and create DFT specifications for complex next generation SoCs. You will design, insert and verify the DFT logic.You will prepare for post silicon and co-work/debug with test engineers. You will be responsible for reducing test cost, increasing production quality, and enhancing yield.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.",https://careers.google.com/jobs/results/138671613034799814-soc-dft-engineer-google-cloud/?page=40
"Customer Engineer, Infrastructure Modernization",Google,"London UK
Dublin Ireland
",2022-12-07T11:42:30.846Z,"Bachelor's degree in Computer Science, related technical field, or equivalent practical experience.
Experience as a technical sales engineer in a cloud computing environment or equivalent experience in a customer-facing role.
Experience in one of the following: cloud migration, disaster recovery, application/servers assessment and discovery.
Experience in data center architectures and components.","Industry experience or experience working in a specialist area of technology.
Experience in advanced areas of networking, including Linux, software-defined networking, network virtualization, open protocols, application acceleration and load balancing, DNS, virtual private networks and their application to PaaS and IaaS technologies.
Experience with deployment methodologies and technologies (e.g., CI/CD, Chef, Puppet, Ansible, etc.).
Knowledge of public cloud platforms and technical concepts such as Big Data, PaaS, SaaS, IaaS, and related industry topics.
Ability and interest to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions.","Recommend migration strategies, enterprise architectures, migration tools, and cloud infrastructure required to successfully implement a complete solution using best practices on Google Cloud.
Challenge and inspire customers and peers to solve difficult problems with ambitious and novel solutions leveraging a sophisticated set of technical competences.
Work with the team to identify and qualify business opportunities, identify key customer technical objections, and develop a strategy to resolve technical blockers.
Manage the technical relationship with Google¡¦s customers, including managing product and solution briefings, proof-of-concept work, and the coordination of additional technical resources.","When leading companies choose Google Cloud it's a huge win for spreading the power of cloud computing globally. Once educational institutions, government agencies, and other businesses sign on to use Google Cloud products, you come in to facilitate making their work more productive, mobile, and collaborative. You listen and deliver what is most helpful for the customer. You assist fellow sales Googlers by problem-solving key technical issues for our customers. You liaise with the product marketing management and engineering teams to stay on top of industry trends and devise enhancements to Google Cloud products.
The Google Cloud Platform team helps customers transform and evolve their business through the use of Google¡¦s global network, web-scale data centers, and software infrastructure. As part of an entrepreneurial team in this rapidly growing business, you will help shape the future of businesses of all sizes use technology to connect with customers, employees, and partners. As a Sales Engineer, you will work with the Sales team to introduce Google Cloud to our customers. You will help prospective, existing customers, and partners understand the power of Google Cloud, develop creative cloud solutions, and architectures to solve their business challenges, and problem-solve any potential technical roadblocks. Some travel may be required for this role.
Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Google¡¦s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems.",https://careers.google.com/jobs/results/74601923862241990-customer-engineer-infrastructure-modernization/?page=40
"Advertising Solutions Architect, gTech, gReach Program for People with Disabilities (English, Japanese)",Google,"Tokyo Japan
",2022-12-07T11:41:42.822Z,"Bachelor's degree or equivalent practical experience.
1 year of experience working with customers and internal stakeholders.
1 year of experience in programming languages such as HTML, CSS, and JavaScript. Experience in SQL, XML, HTTP protocols, and databases.
Ability to speak and write in English and Japanese fluently.","4 years of experience in building proof of concepts using web/scripting technologies (JS, PHP, Python) and SQL databases.
4 years of experience in project/program management with the ability to work independently, managing multiple complex projects at the same time.
Experience in an Industry Vertical and knowledge of its key trends and business challenges.
Expertise in problem-discovery, problem-solving, analysis, and communication, with the ability to absorb technical concepts and effectively communicate them to a non-technical audience.
Excellent collaboration skills including working actively with cross-functional groups.","Work with external clients and internal sales stakeholders to identify key customer business objectives through a consultative approach.
Lead client meetings and explore the opportunities for joint technical plans and packaged solutions which help our customers achieve their business objectives.
Develop expertise of the Google advertising products and customer infrastructure to be able to architect technical solutions and meet customer needs.
Lead complex multi-quarter technical projects by collaborating closely with cross-functional internal and external teams (technical and non-technical team members).
Build a trusted technical advisory relationship with customers and internal sales stakeholders.","The gReach Program is a 12 months paid upskilling program for industry professionals with disabilities where participants will receive on-the-job-training and work on a range of projects. The goal of the gReach program is to provide participants from underrepresented groups with the opportunity to grow their career as professionals

*IMPORTANT* : This role is exclusively for people who have a government-issued disability certificate.
Google creates products and services that make the world a better place, and gTech¡¦s role is to help bring them to life. Our teams of trusted advisors support customers globally. Our solutions are rooted in our technical skill, product expertise, and a thorough understanding of our customers¡¦ complex needs. Whether the answer is a bespoke solution to solve a unique problem, or a new tool that can scale across Google, everything we do aims to ensure our customers benefit from the full potential of Google products.

To learn more about gTech, check out our video.",https://careers.google.com/jobs/results/110239600514867910-advertising-solutions-architect-gtech-greach-program-for-people-with-disabilities-english-japanese/?page=40
Data Center Facilities Electrical Engineer,Google,"Singapore
",2022-12-07T11:40:09.822Z,"Associate's degree, trade school certification or equivalent practical experience.
4 years of experience in operating and maintaining mission critical facilities.
Experience performing maintenance on Electrical or Mutual Evaluation Plan (MEP) systems, and resolving common system failures.
Ability to work in shifts including weekends and holidays.","Experience in management of vendors/contractors performing construction, maintenance and upgrading works in large scale critical environment.
Experience in Data Center or facility background.
HVAC or electrical license.
Understanding of the electrical and mechanical systems used in a data center environment, (e,g., Feeders, Transformers, Generators, Switchgear, UPS systems, ATS/STS units, PDU/PMM units, Chillers, Air handling units and CRAC units).","Develop good understanding of the infrastructure design and sequence of operation and familiar with managing operational risks.
Develop complex operational procedures and execute them as part of a team.
Perform maintenance on major electrical systems and independently resolve common system failures.
Be familiar with the safety rules and regulations associated with operating complex infrastructure.
Adopt continuous improvement to minimize the environmental impact of the operation by helping the team improve site and operational efficiency.","The Data Center team designs and operates some of the most sophisticated electrical engineering, mechanical engineering and HVAC systems in the world. Facilities Technicians at Google data centers operate, monitor and support physical facilities conditions. Some of these duties will include heating and cooling of air and water, power supply, generators, UPS systems, electrical distribution and control and monitoring systems. You regularly help inspect, maintain and repair various data center systems such as piping and non-critical electrical or mechanical system components). You provide daily assistance to senior technicians as you read blueprints/schematics, conduct tours of systems and assess their working order.

As an advocate for best practices, you develop creative approaches to reducing operational costs while improving overall data center efficiency. You ensure that environmental and safety standards are consistently met, identifying problems and making repairs quickly. In emergency situations or abnormal conditions, you manage data center performance issues and outages to minimize the recovery time from failures.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.",https://careers.google.com/jobs/results/99282751053537990-data-center-facilities-electrical-engineer/?page=40
"Technical Account Manager, Cloud Professional Services",Google,"Hong Kong
",2022-12-07T11:42:50.855Z,"Bachelor¡¦s degree in Computer Science, Engineering, related technical field, or equivalent practical experience.
3 years of experience in a customer-facing role interfacing with executive stakeholders, driving customer technical implementation, or transformation programs.
Experience leading global projects and/or teams.
Experience working with customers/partners.","Experience in application/workload migration to public cloud providers.
Experience collaborating with channel partners, systems integrators, and third-party developers to deliver high-impact solutions.
Experience collaborating across business units internally and at large enterprises.
Excellent communication, presentation, problem-solving, and management skills, with experience translating business requirements into technological solutions.
Understanding of one of the following: IT operations, database systems, networking, IT security, application development, service architecture, cloud-native application development, hosted services, storage systems, or content delivery networks.
Ability to speak and write in English and Cantonese and/or Mandarin fluently.","Accelerate customer adoption of Google Cloud by leading the implementation journey. Provide technical guidance and manage timelines, milestones, migration goals, and business transformation strategies.
Advocate for customer needs in order to overcome adoption blockers and drive new feature development. Lead across multiple work streams and teams to maintain customer momentum.
Develop strategic relationships with stakeholders (particularly C-Suite and IT team) to understand a customer¡¦s business and develop strategic roadmaps. Facilitate quarterly business reviews and executive sessions to better understand business and technical needs.
Plan for customer events and launches, partnering with Support and Engineering teams to ensure customer success during critical moments. Work with customers and Support to guide issues/escalations to resolution.
Develop best practices and assets based on learnings from customer engagements to support initiatives to scale through partners and accelerate cloud adoption.","The Google Cloud Platform team helps customers transform and build what's next for their business ¡X all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers ¡X developers, small and large businesses, educational institutions and government agencies ¡X see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
Our Professional Services organization in Google Cloud delivers product and implementation expertise to our strategic customers to help them get the most out of their Google Cloud investments. As a Technical Account Manager (TAM), your previous experience with cloud infrastructure, program management, enterprise technology implementation, strategy development, and customer advocacy will play an important part in your daily work driving success for our customers.
In this role, you'll lead the successful adoption of Google Cloud at leading organizations, guiding them through the strategic and technical facets of their Cloud transformation journey. You will manage the successful delivery of Professional Services engagements to drive customer adoption of Google Cloud services. You will regularly engage with various stakeholder groups, including executives of large enterprises and a cross-functional and geographically dispersed team. You will also have the opportunity to travel up to 25% of the time.",https://careers.google.com/jobs/results/128687563381580486-technical-account-manager-cloud-professional-services/?page=40
"Business Intern, Veteran",Google,"Seoul South Korea
",2022-12-07T11:43:52.968Z,"Currently enrolled in a full-time Bachelor's or Master's program.
Eligibility as vocation support candidate with a certificate issued by the Korean Ministry of Patriots and Veterans Affairs.
Be able to complete 6 months of internship at Google Seoul office.
Ability to speak and write in English and Korean fluently.","Excellent project management, interpersonal and organizational skills, with the ability to drive and implement ideas in a challenging environment.
Demonstrated interest in the Internet and in Google¡¦s technology and business.
Demonstrated ability to show motivation and an independent thinker.
Effective analytical skills, with the ability to manage highly strategic and challenging business problems.","Job responsibilities and detailed projects will be determined based on your educational background, interests and skills.","The Business Internship is open to students from all academic disciplines who have effective analytical skills and the ability to help Google clients and users to get the most out of their advertising efforts and out of our products. With exceptional interpersonal skills, you are interested in client service, project management and communication. You are also a self-starter who brings a determined, solution-oriented attitude. Many intern roles within this program do not require technical skills, and they could include managing advertiser or publisher accounts, developing compelling advertising solutions for brand advertisers, improving access to relevant information for millions of internet users, analyzing large sets of data, or developing scalable support solutions for rapid-growth consumer products. As an intern, you will be working on challenging projects with high impact during a 6-month paid, full-time internship. You will be assigned an intern manager, who will help you to identify project goals, while also inspiring you, mentoring you and supporting your professional development.",https://careers.google.com/jobs/results/117506938423386822-business-intern-veteran/?page=40
"Director, Technical Optical Developer, Augmented Reality",Google,"Waterloo, ON, Canada
",2022-12-07T11:40:40.797Z,"Master¡¦s degree in Optics, Physics, or equivalent practical experience.
15 years of experience working with external component vendors and partners around optical device design, fabrication, and tests.
10 years of experience managing people and technical projects within hardware system development domains.
Experience building and leading teams across organizational structures.","Experience collaborating across organizational boundaries, building relationships and delivering on joint objectives and key results.
Ability to understand the complex relationship between the organization and its environment, identify connections, adopt different perspectives, and quickly respond to changing circumstances in a strategic way.
Ability to think innovatively, problem solve systematically, collaborate cross-functionally, and work through to solutions of ambiguous problems.
Ability to inspire and motivate all stakeholders to work together as a cohesive and highly productive unit that drives execution impact at scale.
Excellent analytical, problem-solving, communication, and organizational skills.","Partner with advanced photonics groups on research initiatives for future product optical components and technologies.
Lead design and development of optical display systems for AR products: light engine assemblies, waveguides, and manufacturing capabilities. Oversee planning, execution, and success of complex technical projects and define/drive the technical needs of our development partners.
Lead team on risk mitigation, key metric identification, schedule and budget maintenance, and efficient execution. Improve processes and tools to maximize quality and predictability of optical designs.
Partner with developers, product management, and leadership to ensure optical design deliverables align with hardware/software developers and product operations priorities.
Develop diverse talent by mentoring and planning for succession. Prioritize retention strategies for key talent. ","In this role, you will be responsible for managing the delivery of Optical designs for Augmented Reality (AR) products including optical design, process development, test, and metrology to build toward business goals. You will lead an Optical Development team, working as part of a cross-functional program team to deliver AR products. You will build and lead a high performing, globally distributed team delivering operational excellence at scale.
You will work collaboratively with Product Management to define optical specifications, mobilize teams to deliver optical designs for AR products, define fabrication processes, establish test and metrology systems, and partner with development and operations to deliver robust manufacturable solutions. You will drive data-driven decision-making enabling AR/VR products. You will work to inspire teams and establish trust among stakeholders and customers.
The Google Augmented Reality team is a diverse group of experts tasked with building the foundations for great immersive computing and building helpful, delightful user experiences. We're focused on making immersive computing accessible to billions of people through mobile devices, and our scope continues to grow and evolve.",https://careers.google.com/jobs/results/92905018958455494-director-technical-optical-developer-augmented-reality/?page=40
"Senior Director, Product Marketing, Google Ads",Google,"Hamburg Germany
",2022-12-07T11:41:48.871Z,"Bachelor's degree or equivalent practical experience.
Experience with digital advertising and working with Google Ads products.
Experience in Marketing or Account-based marketing with SMB client segment.
Experience driving development through developing and managing new customer acquisition campaigns and programs.","Experience building relationships with executives, influencing product and business decisions, and driving cross-functional alignment on marketing plans.
Ability to analyze and distill data (including market, business, and customer data) into actionable insights and relevant marketing strategies.
Ability to operate in a fast-paced, dynamic, and complex environment, and to prioritize and advance multiple projects simultaneously.
Excellent written and verbal communication skills, including the ability to make the complex simple without losing key ideas and messages.
Excellent problem-solving and analytical skills.","Align the Google Customer Solutions Sales team in EMEA and engage with regional leadership to ensure customer engagement marketing models are aligned to and supporting business priorities. 
Develop and grow acquisition programs across multiple channels to bring more users to Google Ads products. Lead Google Partners program for agencies in EMEA including delivery of key value offerings.
Optimize and scale customer engagement marketing models cross-channel in EMEA.
Lead and partner with Google Ads Marketing teams and support them in building locally relevant go-to-market strategies. 
Work with global marketing teams to shape the global ads small and medium business (SMB) product and program strategy. Partner with Sales, Finance, and Analytics leadership to measure and optimize EMEA Ads Acquisition and go-to-market marketing impact and investment.","Google Ads Marketing aims to help advertisers of all sizes grow with digital marketing.
In this role, you will work within Google Customer Solutions (GCS) Marketing in EMEA and will work closely with the GCS EMEA Leadership team to ensure that marketing investment and strategy is aligned to GCS business priorities.
You will drive customer acquisition and lead teams developing acquisition plans to grow customers across direct, partner, and agency channels.
You will be responsible for developing cross-channel programs to drive adoption of products and/or increase intent and awareness of them. This will involve leading a team of go-to-market professionals and working with markets across EMEA to develop programs to engage our customers that can scale across countries.
You will also work closely with Large Customer Sales (LCS) and GCS teams to develop large scale customer events to connect our customers with product experts. You will work to build compelling value proposition that brings products to life and drives demand for in-person and digital experiences.
Know the user. Know the magic. Connect the two. At its core, marketing at Google starts with technology and ends with the user, bringing both together in unconventional ways. Our job is to demonstrate how Google's products solve the world's problems--from the everyday to the epic, from the mundane to the monumental. And we approach marketing in a way that only Google can--changing the game, redefining the medium, making the user the priority, and ultimately, letting the technology speak for itself.",https://careers.google.com/jobs/results/114978683401183942-senior-director-product-marketing-google-ads/?page=40
Platform Design Engineer,Google,"Bengaluru, Karnataka, India
",2022-12-07T11:44:42.025Z,"Bachelor's degree in Electrical Engineering or equivalent practical experience
3 years of experience in ASIC Digital Design and AMBA (Advanced Microcontroller Bus Architecture) protocols
Experience working with cross-functional teams","Experience with high performance and low power design techniques
Experience with FPGA and emulation platforms and SOC (System on Chip) architecture
Experience with ASIC design verification, synthesis, timing/power analysis and DFT (Design for Test)
Proficient with a scripting language like Python","Collaborate with architecture, design verification and implementation teams to ensure specification compliance.
Participate in synthesis, timing/power closure and FPGA (Field Programmable Gate Array)/silicon bring-up
Work as a team to build and deliver highly optimized interconnect blocks for silicon
Communicate and work with multi-disciplined and multi-site teams","Our computational challenges are so big, complex and unique we can't just purchase off-the-shelf hardware, we've got to make it ourselves. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most powerful computing infrastructure. You develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users.
Our team is responsible for delivering on-chip interconnect circuitry. These interconnect solutions are constructed by software which assembles and configures circuit modules from a custom built library. In this role, you will collaborate with members of architecture, design, verification, and implementation to build highly optimized interconnect designs. You will solve technical problems with innovative micro-architecture and practical logic solutions. You will evaluate design options with complexity, performance, power and area in mind.
Google's mission is to organize the world's information and make it universally accessible and useful. Our team combines the best of Google AI, Software, and Hardware to create radically helpful experiences. We research, design, and develop new technologies and hardware to make computing faster, seamless, and more powerful. We aim to make people's lives better through technology.",https://careers.google.com/jobs/results/102047933609714374-platform-design-engineer/?page=40
